D,F,T
0.0,1.4,2.0
19.57,1.9,2.0
43.68,2.5,2.0
82.73,3.1,2.0
80.0,3.6,2.0
14.1,1.4,10.0
41.57,1.9,10.0
90.52,3.1,10.0
94.73,3.6,10.0
98.1,4.2,10.0
55.78,1.9,20.0
83.57,2.5,20.0
98.1,3.6,20.0
98.21,4.2,20.0
16.1,1.4,30.0
65.26,1.9,30.0
84.63,2.5,30.0
99.15,4.2,30.0
26.84,1.4,60.0
85.47,2.5,60.0
93.68,3.1,60.0
98.31,3.6,60.0
99.26,4.2,60.0
41.05,1.4,180.0
80.0,1.9,180.0
88.84,2.5,180.0
95.26,3.1,180.0
101.15,4.2,180.0
45.68,1.4,360.0
86.42,1.9,360.0
100.0,3.1,360.0
101.68,3.6,360.0
104.42,4.2,360.0
48.52,1.4,600.0
96.1,2.5,600.0
101.57,3.1,600.0
104.73,3.6,600.0
104.21,4.2,600.0
96.1,1.9,1200.0
104.21,3.1,1200.0
107.57,3.6,1200.0
101.05,4.2,1200.0
86.63,4.2,2.0
76.31,2.5,10.0
13.05,1.4,20.0
92.84,3.1,20.0
93.89,3.1,30.0
97.89,3.6,30.0
74.42,1.9,60.0
99.15,3.6,180.0
92.0,2.5,360.0
90.1,1.9,600.0
59.26,1.4,1200.0
105.89,2.5,1200.0
4.8925,1.525,2.0
14.6775,1.775,2.0
25.5975,2.1,2.0
31.625,2.3,2.0
37.6525,2.4,2.0
53.4425,2.65,2.0
63.205,2.8,2.0
82.0475,3.225,2.0
81.365,3.35,2.0
80.6825,3.475,2.0
83.315,3.9,2.0
84.9725,4.05,2.0
7.05,1.4,6.0
12.93,1.525,6.0
18.81,1.65,6.0
30.57,1.9,6.0
37.92625,2.1,6.0
52.63875,2.4,6.0
59.995,2.5,6.0
66.6525,2.65,6.0
73.31,2.8,6.0
76.289375,2.95,6.0
86.625,3.1,6.0
86.81,3.225,6.0
86.995,3.35,6.0
87.365,3.6,6.0
88.615,3.75,6.0
91.115,4.05,6.0
92.365,4.2,6.0
20.9675,1.525,10.0
27.835,1.65,10.0
34.7025,1.775,10.0
58.94,2.3,10.0
67.625,2.4,10.0
79.8625,2.65,10.0
83.415,2.8,10.0
86.9675,2.95,10.0
91.5725,3.225,10.0
